단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
009300,KR7009300005,삼아제약,ST,3,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,19230,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,87267,1000,20000719,6370,6370000000,12,,0,,N,N,247,79,89,68,15,20230331,1224,,N,N,N
009520,KR7009520008,포스코엠텍,ST,2,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,26900,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,8981148,500,19971110,41642,20821351500,12,,0,,N,N,3422,64,66,48,4,20221231,11201,853,N,N,N
009620,KR7009620006,삼보산업,ST,3,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1076,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,305757,100,19931207,45255,4525556100,12,,0,,N,N,1115,40,14,11,8,20230331,486,,N,N,N
009730,KR7009730003,코센,ST,3,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4505,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,901236,500,19900727,30158,15079031500,12,,0,,N,N,666,20,25,29,17,20221231,1358,,N,N,N
009780,KR7009780008,엠에스씨,ST,3,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5790,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,7108,500,19931012,17600,8800000000,12,,0,,N,N,490,62,60,48,14,20230331,1019,,N,N,N
010170,KR7010170009,대한광$통신,ST,2,0,1009,1028,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1967,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,241903,500,19941107,74511,37255583000,12,,0,,N,N,646,32,37,37,14,20230331,1465,,N,N,N
010240,KR7010240000,흥국,ST,3,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6600,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,43710,500,20090512,12322,6161348000,12,,0,,N,N,393,46,55,42,18,20230331,813,,N,N,N
010280,KR7010280006,쌍용정보통신,ST,3,1007,1017,1037,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,925,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3399218,500,20000414,65123,32561893000,12,,0,,N,N,1069,19,35,35,25,20230331,602,,N,N,N
010470,KR7010470003,오리콤,ST,3,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16540,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,48203,1000,20001024,11975,11975050000,12,,0,,N,N,367,-7,-9,-7,-3,20230331,1980,391,N,N,N
011040,KR7011040003,경동제약,ST,2,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,7290,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,28703,500,19921218,30768,15684383000,12,,0,,N,N,375,-41,-1,-5,-1,20230331,2243,,N,N,N
011080,KR7011080009,형지I&C,ST,3,0,1009,1020,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1209,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,238622,500,20040702,25503,12751681500,12,,0,,N,N,155,-5,-6,-6,-8,20230331,308,,N,N,N
011320,KR7011320009,유니크,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6350,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,1692892,500,19931229,19320,9660347500,12,,0,,N,N,801,30,35,29,10,20230331,1226,,N,N,N
011370,KR7011370004,서한,ST,3,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1166,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1241893,500,19940524,100894,50447432500,12,,0,,N,N,1264,60,29,32,3,20230331,1176,,N,N,N
011560,KR7011560000,세보엠이씨,ST,3,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,9320,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,64425,500,19961223,10530,5265000000,12,,0,,N,N,2207,95,100,78,17,20230331,981,,N,N,N
012340,KR7012340006,뉴인텍,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1976,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,770108,500,19970212,30107,15053581000,12,,0,,N,N,213,-11,-13,-13,-30,20230331,594,,N,N,N
012620,KR7012620001,원일특강,ST,3,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10190,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,11500,500,19940628,4400,2200000000,12,,0,,N,N,974,45,34,27,7,20230331,448,,N,N,N
012700,KR7012700001,리드코프,ST,2,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,7460,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,48502,500,19960119,26446,13777741000,12,,0,,N,N,1191,26,28,22,2,20230331,1972,,N,N,N
012790,KR7012790002,신일제약,ST,3,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,8330,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,50804,500,19990813,11986,5993207500,12,,0,,N,N,800,137,146,122,10,20221231,998,,N,N,N
